Symbol,Security,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location
NEM,Newmont Corporation,reports,Materials,Gold,"Denver, Colorado"
NFLX,Netflix Inc.,reports,Communication Services,Movies & Entertainment,"Los Gatos, California"
KR,Kroger Co.,reports,Consumer Staples,Food Retail,"Cincinnati, Ohio"
CLX,The Clorox Company,reports,Consumer Staples,Household Products,"Oakland, California"
VRTX,Vertex Pharmaceuticals Inc,reports,Health Care,Biotechnology,"Cambridge, Massachusetts"
CPB,Campbell Soup,reports,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey"
REGN,Regeneron Pharmaceuticals,reports,Health Care,Biotechnology,"Tarrytown, New York"
DG,Dollar General,reports,Consumer Discretionary,General Merchandise Stores,"Goodlettsville, Tennessee"
TSLA,"Tesla, Inc.",reports,Consumer Discretionary,Automobile Manufacturers,"Palo Alto, California"
CAG,Conagra Brands,reports,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois"
ABMD,ABIOMED Inc,reports,Health Care,Health Care Equipment,"Danvers, Massachusetts"
BIIB,Biogen Inc.,reports,Health Care,Biotechnology,"Cambridge, Massachusetts"
DXCM,DexCom,reports,Health Care,Health Care Equipment,"San Diego, California"
DPZ,Domino's Pizza,reports,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan"
SJM,JM Smucker,reports,Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio"
CMG,Chipotle Mexican Grill,reports,Consumer Discretionary,Restaurants,"Newport Beach, California"
INCY,Incyte,reports,Health Care,Biotechnology,"Wilmington, Delaware"
ATVI,Activision Blizzard,reports,Communication Services,Interactive Home Entertainment,"Santa Monica, California"
WMT,Walmart,reports,Consumer Staples,Hypermarkets & Super Centers,"Bentonville, Arkansas"
TTWO,Take-Two Interactive,reports,Communication Services,Interactive Home Entertainment,"New York, New York"
AMD,Advanced Micro Devices Inc,reports,Information Technology,Semiconductors,"Santa Clara, California"
GIS,General Mills,reports,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota"
K,Kellogg Co.,reports,Consumer Staples,Packaged Foods & Meats,"Battle Creek, Michigan"
EA,Electronic Arts,reports,Communication Services,Interactive Home Entertainment,"Redwood City, California"
GILD,Gilead Sciences,reports,Health Care,Biotechnology,"Foster City, California"
